date,total_cases_TWN,new_cases_TWN,total_deaths_TWN,new_deaths_TWN,population_TWN,total_cases_CHN,new_cases_CHN,total_deaths_CHN,new_deaths_CHN,population_CHN
2023-01-02,8889346,16600,15299,26,23893396,88697147,1606621,61077,4189,1425887360
2023-01-03,8914351,25005,15321,22,23893396,89979614,1282467,65509,4432,1425887360
2023-01-04,8948201,33850,15338,17,23893396,91344022,1364408,69879,4370,1425887360
2023-01-05,8979699,31498,15383,45,23893396,92594601,1250579,73445,3566,1425887360
2023-01-06,9007371,27672,15445,62,23893396,93586490,991889,76674,3229,1425887360
2023-01-07,9031781,24410,15506,61,23893396,94449740,863250,80292,3618,1425887360
2023-01-08,9055191,23410,15542,36,23893396,95152288,702548,84102,3810,1425887360
2023-01-09,9072505,17314,15582,40,23893396,95679937,527649,87584,3482,1425887360
2023-01-10,9097554,25049,15608,26,23893396,96087638,407701,90900,3316,1425887360
2023-01-11,9123185,25631,15654,46,23893396,96494147,406509,93496,2596,1425887360
2023-01-12,9146104,22919,15702,48,23893396,96803945,309798,95877,2381,1425887360
2023-01-13,9167811,21707,15755,53,23893396,97080949,277004,97888,2011,1425887360
2023-01-14,9188207,20396,15802,47,23893396,97313450,232501,100318,2430,1425887360
2023-01-15,9209474,21267,15833,31,23893396,97513859,200409,102137,1819,1425887360
2023-01-16,9225106,15632,15873,40,23893396,97655370,141511,103865,1728,1425887360
2023-01-17,9245066,19960,15903,30,23893396,97770942,115572,105388,1523,1425887360
2023-01-18,9266087,21021,15929,26,23893396,97905546,134604,106831,1443,1425887360
2023-01-19,9284494,18407,15977,48,23893396,98013209,107663,108163,1332,1425887360
2023-01-20,9302697,18203,16038,61,23893396,98106457,93248,109315,1152,1425887360
2023-01-21,9323771,21074,16071,33,23893396,98191636,85179,110277,962,1425887360
2023-01-22,9342958,19187,16098,27,23893396,98269042,77406,111247,970,1425887360
2023-01-23,9353625,10667,16122,24,23893396,98313709,44667,111307,60,1425887360
2023-01-24,9368483,14858,16146,24,23893396,98340016,26307,111356,49,1425887360
2023-01-25,9384996,16513,16168,22,23893396,98355332,15316,113659,2303,1425887360
2023-01-26,9404138,19142,16189,21,23893396,98374960,19628,113696,37,1425887360
2023-01-27,9428486,24348,16204,15,23893396,98391852,16892,113749,53,1425887360
2023-01-28,9455924,27438,16224,20,23893396,98416655,24803,113791,42,1425887360
2023-01-29,9483267,27343,16246,22,23893396,98444584,27929,113826,35,1425887360
2023-01-30,9505551,22284,16276,30,23893396,98472389,27805,113873,47,1425887360
2023-01-31,9537823,32272,16308,32,23893396,98472389,0,113926,53,1425887360
2023-02-01,9569611,31788,16356,48,23893396,98527660,55271,117290,3364,1425887360
2023-02-02,9596660,27049,16430,74,23893396,98527660,0,117399,109,1425887360
2023-02-03,9622129,25469,16535,105,23893396,98560415,32755,117486,87,1425887360
2023-02-04,9645862,23733,16614,79,23893396,98613355,52940,117566,80,1425887360
2023-02-05,9668845,22983,16687,73,23893396,98637553,24198,117634,68,1425887360
2023-02-06,9685484,16639,16750,63,23893396,98660943,23390,117687,53,1425887360
2023-02-07,9708863,23379,16795,45,23893396,98677861,16918,117743,56,1425887360
2023-02-08,9733094,24231,16849,54,23893396,98701534,23673,118706,963,1425887360
2023-02-09,9754006,20912,16894,45,23893396,98726090,24556,118776,70,1425887360
2023-02-10,9773627,19621,16964,70,23893396,98747282,21192,118867,91,1425887360
2023-02-11,9791908,18281,17046,82,23893396,98766911,19629,118926,59,1425887360
2023-02-12,9809098,17190,17103,57,23893396,98785727,18816,118984,58,1425887360
2023-02-13,9821755,12657,17157,54,23893396,98798626,12899,119023,39,1425887360
2023-02-14,9842257,20502,17193,36,23893396,98815983,17357,119092,69,1425887360
2023-02-15,9862108,19851,17258,65,23893396,98836681,20698,119253,161,1425887360
2023-02-16,9878848,16740,17319,61,23893396,98856754,20073,119253,0,1425887360
2023-02-17,9894283,15435,17397,78,23893396,98873697,16943,119260,7,1425887360
2023-02-18,9909368,15085,17452,55,23893396,98873697,0,119463,203,1425887360
2023-02-19,9925158,15790,17520,68,23893396,98904475,30778,119510,47,1425887360
2023-02-20,9937216,12058,17564,44,23893396,98920493,16018,119556,46,1425887360
2023-02-21,9954456,17240,17608,44,23893396,98932674,12181,119620,64,1425887360
2023-02-22,9970937,16481,17672,64,23893396,98950057,17383,119664,44,1425887360
2023-02-23,9985320,14383,17709,37,23893396,98966666,16609,119664,0,1425887360
2023-02-24,9985320,0,17709,0,23893396,98981193,14527,119664,0,1425887360
2023-02-25,9985320,0,17709,0,23893396,98981193,0,119821,157,1425887360
