Date_of_Reporting	Deaths	deaths_cumulative	New_Local_Cases	New_Imported_Cases	New_Undetermined_Cases	New_Total_Cases	Unidentifiable	New_Local_Cases_Source	Notes	Num_Delayed	Date_of_Reporting_REPEAT	New_Local_Cases_Original	New_Local_Cases_20210522	New_Local_Cases_20210523	New_Local_Cases_20210524	New_Local_Cases_20210525	New_Local_Cases_20210526	New_Local_Cases_20210527	New_Local_Cases_20210528	ERR_New_Local_Cases_20210529_ERROR_REPORTED	New_Local_Cases_20210529	New_Local_Cases_20210530	New_Local_Cases_20210531	New_Local_Cases_20210601	New_Local_Cases_20210602	New_Local_Cases_20210603	New_Local_Cases_20210604	New_Local_Cases_20210605	New_Local_Cases_20210606	New_Local_Cases_Revised	Revised_Status	Specimen_from_Reported_COVID-19	Specimen_from_Reported_from_Home_Quarantine	Specimen_from_Enhanced_Surveillance	Total
2020/1/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	0	0	0	0
2020/1/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	4	0	0	4
2020/1/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	0	0	0	0
2020/1/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	1	0	0	1
2020/1/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	1	0	0	1
2020/1/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	2	0	0	2
2020/1/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	12	0	0	12
2020/1/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	44	0	0	44
2020/1/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	70	0	0	70
2020/1/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	57	0	0	57
2020/1/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	91	0	0	91
2020/1/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	117	0	0	117
2020/1/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	123	0	0	123
2020/1/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	95	0	0	95
2020/1/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	106	0	0	106
2020/1/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	100	0	0	100
2020/1/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/1/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	93	0	0	93
2020/2/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	87	0	0	87
2020/2/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	57	7	0	64
2020/2/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	94	37	0	131
2020/2/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	76	27	0	103
2020/2/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	54	103	0	157
2020/2/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	51	26	0	77
2020/2/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	63	136	0	199
2020/2/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	71	154	0	225
2020/2/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	52	76	0	128
2020/2/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	94	111	0	205
2020/2/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	53	115	0	168
