days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.24197002141327623	108	24.2%
2	0.17687366167023555	79	17.7%
3	0.14218415417558886	64	14.2%
4	0.11991434689507495	54	12.0%
5	0.10792291220556745	48	10.8%
6	0.08222698072805139	37	8.2%
7	0.059957173447537475	27	6.0%
8	0.039400428265524624	18	3.9%
9	0.019700214132762312	9	2.0%
10	0.005139186295503212	2	0.5%
11	0.001284796573875803	1	0.1%
12	0.0017130620985010706	1	0.2%
13	4.2826552462526765e-4	0	0.0%
14	0	0	0.0%
15	0.001284796573875803	1	0.1%
