date	New_Local_Cases	Num_Delayed	New_Local_Cases_Original	New_Local_Cases_Revised	Total	unknown_source_prop	unknown_PLUS_Wanhua_prop	unknown_PLUS_Wanhua_prop_epidemic	total_num_cases	double_north_related	Wanhua_related	Tea_House_related	club_related	grocery_related	recreation_hall_related	incense_group_related	known_source	unknown_source	in_the_epidemic	level_four_threshold	level_four_threshold2	notes	cumulative_confirmed_number	cumulative_num_releases_from_quarantine	cumulative_deaths	cumulative_number_of_inspections	cumulative_exclusions	num_diagnoses_in_a_single_day_the_day_before_yesterday	num_exclusions_prev_day	num_inspections_sent_in_a_single_day_the_day_before_yesterday	diagnosed_in_isolation_Diagnosed_MIN_death_MIN_ReleasedFromIsolation	interpretation_completed_Excluded_PLUS_Confirmed	not_yet_interpreted_TotalInspection_MIN_Completed	test_total_positive_rate_Confirmed_DIV_Completed	mortality_Death_DIV_Complete	Interpretation_on_same_day_Confirmed_PLUS_Excluded	interpretation_on_day_Confirmed_PLUS_Excluded	total_interpretation_on_day_Confirmed_PLUS_Excluded	not_inspected_on_the_day_SendForInspection_MIN_CompleteInterpretation	total_unchecked_on_the_day	same_day_test_positive_rate_DiagnosedOnDay_DIV_TestVolumeOnDay	change_in_cumulative_positive	test_pos_rate_redun	Num_Local_Cases_Projected	day	sw_start	sw_center	sw_end	sw_num_days_with_data	sw_PREDICTED_cases_sum	sw_PREDICTED_cases_mean	sw_PREDICTED_cases_sd	sw_PREDICTED_cases_SE	sw_start_date	sw_center_date	sw_end_date
2021-05-01	1	0	1	1	384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	4	7	7	10	1.4285714285714286	1.3972762620115438	0.528120786019496	2021-05-01	2021-05-04	2021-05-07
2021-05-02	4	0	4	4	420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2	5	8	7	11	1.5714285714285714	1.3972762620115438	0.528120786019496	2021-05-02	2021-05-05	2021-05-08
2021-05-03	2	0	2	2	1395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	3	6	9	7	7	1	1	0.3779644730092272	2021-05-03	2021-05-06	2021-05-09
2021-05-04	2	0	2	2	991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	4	7	10	7	9	1.2857142857142858	1.4960264830861913	0.5654448612875199	2021-05-04	2021-05-07	2021-05-10
2021-05-05	0	0	0	0	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	5	8	11	7	14	2	2.6457513110645907	1	2021-05-05	2021-05-08	2021-05-11
2021-05-06	1	0	1	1	1009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	6	9	12	7	31	4.428571428571429	6.078847008469694	2.2975882060599653	2021-05-06	2021-05-09	2021-05-12
2021-05-07	0	0	0	0	1067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	7	10	13	7	43	6.142857142857143	6.618876325292973	2.501700102202609	2021-05-07	2021-05-10	2021-05-13
2021-05-08	2	0	2	2	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8	8	11	14	7	73	10.428571428571429	10.533393610436333	3.9812485649673297	2021-05-08	2021-05-11	2021-05-14
2021-05-09	0	0	0	0	680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	9	12	15	7	256	36.57142857142857	66.18876325292973	25.01700102202609	2021-05-09	2021-05-12	2021-05-15
2021-05-10	4	0	4	4	1237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	10	13	16	7	540	77.14285714285714	111.53987115441213	42.15810862039448	2021-05-10	2021-05-13	2021-05-16
2021-05-11	7	0	7	7	1218	0.142857143	0.142857143	0.142857143	7	NA	0	0	1	0	5	0	1	0	0	0.5	100	The unidentified proportion is included in 1 case in the amusement park; the initial case of a certain club was later found to be related to tea art, and the unidentified proportion was not included.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	11	11	14	17	7	1071	153	199.43670675179132	75.37998976613659	2021-05-11	2021-05-14	2021-05-17
2021-05-12	17	0	17	17	2436	0.176470588	0.176470588	0.235294118	17	NA	0	3	10	0	3	0	0	0	1	0.5	100	"Unknown proportions are included in the 3 cases of tea art houses (from different tea art houses). The category of ""tea art houses"" is actually very vague. I will count the 3 cases that broke out at the beginning as unknown for the time being. The subsequent cases can barely be regarded as clear. Knowledge contact history"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	12	12	15	18	7	1520	217.14285714285714	216.1569094981919	81.699632385787325	2021-05-12	2021-05-15	2021-05-18
2021-05-13	13	0	13	13	3904	0.076923077	0.076923077	0.076923077	13	NA	0	3	0	0	0	0	9	1	0	0.5	100	"At the press conference that day, the man who mentioned a case of ""the history of Wanhua activities"" was also listed as an unknown source."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	13	13	16	19	7	2030	290	223.28606464951338	84.39419975555757	2021-05-13	2021-05-16	2021-05-19
2021-05-14	29	0	29	30	6187	0.24137931	0.24137931	0.24137931	29	NA	0	16	5	0	1	0	0	7	0	0.5	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	14	14	17	20	7	2491	355.85714285714283	194.0390240573861	73.3398574710747	2021-05-14	2021-05-17	2021-05-20
2021-05-15	180	0	180	185	6520	−	−	−	0	−	−	−	−	−	−	−	−	−	−	0.5	100	No detailed numbers of individual infection sources were released on this day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185	15	15	18	21	7	2893	413.2857142857143	130.66205045295834	49.38561304175746	2021-05-15	2021-05-18	2021-05-21
2021-05-16	206	0	206	284	8437	0.004830918	0.217391304	0.449275362	207	−	44	105	5	0	3	1	0	1	48	0.5	100	"Starting from this day, the press conference has an additional category of ""History of Wanhua Activities"", which is not included in the category of ""Unidentified Source of Infection"""	1682	1116	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	284	16	16	19	22	7	3181	454.42857142857144	83.70355855210526	31.63697139714346	2021-05-16	2021-05-19	2021-05-22
2021-05-17	333	0	333	535	15488	0.12012012	0.378378378	0.492492492	333	−	86	155	5	0	3	6	0	40	38	0.5	100	NA	2017	1123	12	245801	236103	207	6322	8486	882	238120	6546	0.008470519	0.00594943	5.03948e-5	6529	NA	1957	0	NA	335	NA	535	17	17	20	23	7	3388	484	36.98648401781386	13.97957694025722	2021-05-17	2021-05-20	2021-05-23
2021-05-18	240	0	240	456	18112	0.2125	0.491666667	0.6125	240	−	67	88	2	0	1	2	0	51	29	0.5	100	NA	2260	1127	14	261389	244409	335	8306	15603	1119	246669	13579	0.009162075	0.00619469	5.67562e-5	8641	8549	6962	7033	0.028424377	243	0.028424377	456	18	18	21	24	7	3355	479.2857142857143	31.025335269283207	11.726474494989217	2021-05-18	2021-05-21	2021-05-24
2021-05-19	267	0	267	527	17613	0.183520599	0.509363296	0.610486891	267	−	87	73	2	28	0	1	0	49	27	0.5	100	NA	2533	1133	14	279650	253155	245	8746	18286	1386	255688	22815	0.009906605	0.005527043	5.47542e-5	8991	9019	9295	9236	0.030269431	273	0.030269431	527	19	19	22	25	7	3398	485.42857142857144	29.88230882901087	11.294451108856071	2021-05-19	2021-05-22	2021-05-25
2021-05-20	286	0	286	474	18031	0.22027972	0.513986014	0.611888112	286	−	84	60	7	4	2	0	38	63	28	0.5	100	NA	2825	1133	15	297484	265558	275	12403	17890	1677	268383	27953	0.010526002	0.005309735	5.58903e-5	12678	12695	5212	5138	0.023001182	292	0.023001182	474	20	20	23	26	7	3404	486.2857142857143	31.324720194091043	11.839631360321118	2021-05-20	2021-05-23	2021-05-26
2021-05-21	312	0	312	432	21747	0.230769231	0.573717949	0.653846154	312	−	107	73	6	5	0	0	24	72	25	0.5	100	NA	3139	1133	15	315592	280916	295	15358	18144	1991	284055	30389	0.011050677	0.004778592	5.28067e-5	15653	15672	2491	2436	0.020035733	314	0.020035733	432	21	21	24	27	7	3459	494.14285714285717	34.46944816997883	13.02822681248492	2021-05-21	2021-05-24	2021-05-27
