days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.23753867308353385	43	23.8%
2	0.1876933654176693	34	18.8%
3	0.14541079408731522	26	14.5%
4	0.1258164317634926	23	12.6%
5	0.10897215537985562	20	10.9%
6	0.07597112409762805	14	7.6%
7	0.053626675833619804	10	5.4%
8	0.03300103128222757	6	3.3%
9	0.0178755586112066	3	1.8%
10	0.00446888965280165	1	0.4%
11	0.0013750429700928155	0	0.1%
12	0.0037813681677552422	1	0.4%
13	0.0013750429700928155	0	0.1%
14	6.875214850464077e-4	0	0.1%
15	0.0010312822275696115	0	0.1%
16	3.4376074252320387e-4	0	0.0%
17	6.875214850464077e-4	0	0.1%
18	0	0	0.0%
19	0	0	0.0%
20	3.4376074252320387e-4	0	0.0%
