date	New_Local_Cases	Num_Delayed	New_Local_Cases_Original	New_Local_Cases_Revised	Total	unknown_source_prop	unknown_PLUS_Wanhua_prop	unknown_PLUS_Wanhua_prop_epidemic	total_num_cases	Wanhua_related	Tea_House_related	club_related	grocery_related	recreation_hall_related	incense_group_related	known_source	unknown_source	in_the_epidemic	level_four_threshold	level_four_threshold2	notes	cumulative_confirmed_number	cumulative_num_releases_from_quarantine	cumulative_deaths	cumulative_number_of_inspections	cumulative_exclusions	num_diagnoses_in_a_single_day_the_day_before_yesterday	num_exclusions_prev_day	num_inspections_sent_in_a_single_day_the_day_before_yesterday	diagnosed_in_isolation_Diagnosed_MIN_death_MIN_ReleasedFromIsolation	interpretation_completed_Excluded_PLUS_Confirmed	not_yet_interpreted_TotalInspection_MIN_Completed	test_total_positive_rate_Confirmed_DIV_Completed	mortality_Death_DIV_Complete	Interpretation_on_same_day_Confirmed_PLUS_Excluded	total_interpretation_on_day_Confirmed_PLUS_Excluded	not_inspected_on_the_day_SendForInspection_MIN_CompleteInterpretation	total_unchecked_on_the_day	same_day_test_positive_rate_DiagnosedOnDay_DIV_TestVolumeOnDay	Num_Local_Cases_Projected	day	sw_start	sw_center	sw_end	sw_num_days_with_data	sw_PREDICTED_cases_sum	sw_PREDICTED_cases_mean	sw_PREDICTED_cases_sd	sw_PREDICTED_cases_SE	sw_start_date	sw_center_date	sw_end_date
2021-05-04	2	NA	2	2	991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	4	7	7	9	1.2857142857142858	1.4960264830861913	0.5654448612875199	2021-05-04	2021-05-07	2021-05-10
2021-05-05	0	NA	0	0	1096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	5	8	7	14	2	2.6457513110645907	1	2021-05-05	2021-05-08	2021-05-11
2021-05-06	1	NA	1	1	1009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	3	6	9	7	31	4.428571428571429	6.078847008469694	2.2975882060599653	2021-05-06	2021-05-09	2021-05-12
2021-05-07	0	NA	0	0	1069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	4	7	10	7	43	6.142857142857143	6.618876325292973	2.501700102202609	2021-05-07	2021-05-10	2021-05-13
2021-05-08	2	NA	2	2	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	5	8	11	7	73	10.428571428571429	10.533393610436333	3.9812485649673297	2021-05-08	2021-05-11	2021-05-14
2021-05-09	0	NA	0	0	683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	6	9	12	7	256	36.57142857142857	66.18876325292973	25.01700102202609	2021-05-09	2021-05-12	2021-05-15
2021-05-10	4	NA	4	4	1237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	7	7	10	13	7	536	76.57142857142857	110.30693109509959	41.692101080624454	2021-05-10	2021-05-13	2021-05-16
2021-05-11	7	NA	7	7	1218	0.142857143	0.142857143	0.142857143	7	0	0	1	0	5	0	1	0	0	0.5	100	The unidentified proportion is included in 1 case in the amusement park; the initial case of a certain club was later found to be related to tea art, and the unidentified proportion was not included.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8	8	11	14	7	1066	152.28571428571428	198.6837640453746	75.09540417289966	2021-05-11	2021-05-14	2021-05-17
2021-05-12	17	NA	17	17	2441	0.176470588	0.176470588	0.235294118	17	0	3	10	0	3	0	0	0	1	0.5	100	"Unknown proportions are included in the 3 cases of tea art houses (from different tea art houses). The category of ""tea art houses"" is actually very vague. I will count the 3 cases that broke out at the beginning as unknown for the time being. The subsequent cases can barely be regarded as clear. Knowledge contact history"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	9	9	12	15	7	1514	216.28571428571428	215.52549291264384	81.46097934878136	2021-05-12	2021-05-15	2021-05-18
2021-05-13	13	NA	13	13	3916	0.076923077	0.076923077	0.076923077	13	0	3	0	0	0	0	9	1	0	0.5	100	"At the press conference that day, the man who mentioned a case of ""the history of Wanhua activities"" was also listed as an unknown source."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	10	10	13	16	7	2026	289.42857142857144	223.35834970054822	84.42152093677839	2021-05-13	2021-05-16	2021-05-19
2021-05-14	29	NA	29	30	6191	0.24137931	0.24137931	0.24137931	29	0	16	5	0	1	0	0	7	0	0.5	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	11	11	14	17	7	2501	357.2857142857143	195.8398276532077	74.02049725316253	2021-05-14	2021-05-17	2021-05-20
2021-05-15	180	NA	180	185	6534	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	100	No detailed numbers of individual infection sources were released on this day	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185	12	12	15	18	7	2922	417.42857142857144	133.2076788863379	50.34777015105707	2021-05-15	2021-05-18	2021-05-21
2021-05-16	206	NA	206	280	8458	0.004830918	0.217391304	0.449275362	207	44	105	5	0	3	1	0	1	48	0.5	100	"Starting from this day, the press conference has an additional category of ""History of Wanhua Activities"", which is not included in the category of ""Unidentified Source of Infection"""	1682	1116	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280	13	13	16	19	7	3251	464.42857142857144	87.84998035070382	33.204171527124736	2021-05-16	2021-05-19	2021-05-22
2021-05-17	333	NA	333	533	15602	0.12012012	0.378378378	0.492492492	333	86	155	5	0	3	6	0	40	38	0.5	100	NA	2017	1123	12	245801	236103	207	6322	8486	882	238120	6546	0.008470519	5.03948e-5	6529	NA	1957	0	0.031704702	534	14	14	17	20	7	3516	502.2857142857143	38.19124806250024	14.434934947507575	2021-05-17	2021-05-20	2021-05-23
2021-05-18	240	NA	240	454	18176	0.2125	0.491666667	0.6125	240	67	88	2	0	1	2	0	51	29	0.5	100	NA	2260	1127	14	261389	244409	335	8306	15603	1119	246669	13579	0.009162075	5.67562e-5	8641	8549	6962	7033	0.038768661	455	15	15	18	21	7	3552	507.42857142857144	44.99206279207161	17.005401302803406	2021-05-18	2021-05-21	2021-05-24
2021-05-19	267	NA	267	525	17862	0.183520599	0.509363296	0.610486891	267	87	73	2	28	0	1	0	49	27	0.5	100	NA	2533	1133	14	279650	253155	245	8746	18286	1386	255688	22815	0.009906605	5.47542e-5	8991	9019	9295	9236	0.027249472	529	16	16	19	22	7	3656	522.2857142857143	41.85576139439781	15.819990797833524	2021-05-19	2021-05-22	2021-05-25
2021-05-20	286	NA	286	474	18094	0.22027972	0.513986014	0.611888112	286	84	60	7	4	2	0	38	63	28	0.5	100	NA	2825	1133	15	297484	265558	275	12403	17890	1677	268383	27953	0.010526002	5.58903e-5	12678	12695	5212	5138	0.021691118	488	17	17	20	23	7	3723	531.8571428571429	50.42958315456174	19.06059082108893	2021-05-20	2021-05-23	2021-05-26
2021-05-21	312	NA	312	424	21862	0.230769231	0.573717949	0.653846154	312	107	73	6	5	0	0	24	72	25	0.5	100	NA	3139	1133	15	315592	280916	295	15358	18144	1991	284055	30389	0.011050677	5.28067e-5	15653	15672	2491	2436	0.018846228	451	18	18	21	24	7	3840	548.5714285714286	52.80422061053183	19.958119415722635	2021-05-21	2021-05-24	2021-05-27
2021-05-22	721	400	321	472	14554	0.167822469	0.525658807	0.740638003	721	258	100	4	3	0	0	80	121	155	0.5	100	Including corrected regression numbers, but because the individual infection source numbers of the regression are not listed in detail, they are all listed on the day of release	3862	1133	17	337455	298513	315	17597	21932	2712	302375	33930	0.01277222	5.62216e-5	17912	18320	4020	3541	0.017585976	514	19	19	22	25	7	3869	552.7142857142857	44.3310060255584	16.755545330419057	2021-05-22	2021-05-25	2021-05-28
2021-05-23	457	170	287	487	12909	0.153172867	0.50547046	0.649890591	457	161	25	5	11	0	0	119	70	66	0.5	100	ibid.	4322	1133	23	351999	312689	723	14176	14568	3166	317011	33832	0.013633596	7.25527e-5	14899	14636	-331	-98	0.048526747	545	20	20	23	26	7	3835	547.8571428571429	50.68671282636957	19.157776701988812	2021-05-23	2021-05-26	2021-05-29
2021-05-24	595	256	334	498	23503	0.171186441	0.510169492	0.688135593	590	200	34	6	6	0	0	138	101	105	0.5	100	ibid.	4917	1133	29	364911	325070	460	12381	12959	3755	329987	33762	0.014900587	8.78822e-5	12841	12976	118	-70	0.035822755	570	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-05-25	544	261	281	482	24807	0.204797048	0.54797048	0.706642066	542	186	28	2	7	0	0	122	111	86	0.5	100	ibid.	5456	1133	35	388453	340438	595	15368	23608	4288	345894	41391	0.015773619	1.01187e-4	15963	15907	7645	7629	0.037273695	559	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-05-26	633	331	302	505	21493	0.192733017	0.522906793	0.671406003	633	209	35	3	0	0	0	170	122	94	0.5	100	ibid.	6091	1133	46	413389	359139	544	18701	25005	4912	365230	46980	0.016677162	1.25948e-4	19245	19336	5760	5589	0.028267082	596	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-05-27	671	266	401	493	20449	0.217391304	0.445277361	0.620689655	667	152	25	6	0	0	0	222	145	117	0.5	100	ibid.	6761	1133	59	434840	381735	635	41297	21634	5569	388496	45152	0.017403011	1.51868e-4	41932	23266	-20298	-1828	0.015143566	605	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-05-28	557	258	297	342	15186	0.257657658	0.455855856	0.655855856	555	110	9	1	0	0	0	181	143	111	0.5	100	ibid.	7315	1133	78	455198	397534	671	15799	20512	6104	404849	49138	0.018068465	1.92664e-4	16470	16353	4042	3986	0.040740741	480	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-05-29	493	166	320	320	NA	0.100823045	0.174897119	0.670781893	486	36	2	0	0	0	0	158	49	241	0.5	100	含校正回歸數，但因沒有詳列回歸之個別感染源數字，故皆列於發布當日	7808	NA	99	470287	426915	557	29381	15190	7709	434723	35465	0.017960862	2.27731e-4	29938	29874	-14748	-13673	0.018605117	480	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
