date	New_Local_Cases	Num_Delayed	New_Local_Cases_Original	New_Local_Cases_Revised	Total	unknown_source_prop	unknown_PLUS_Wanhua_prop	unknown_PLUS_Wanhua_prop_epidemic	total_num_cases	double_north_related	Wanhua_related	Tea_House_related	club_related	grocery_related	recreation_hall_related	incense_group_related	known_source	unknown_source	in_the_epidemic	level_four_threshold	level_four_threshold2	notes	cumulative_confirmed_number	cumulative_num_releases_from_quarantine	cumulative_deaths	cumulative_number_of_inspections	cumulative_exclusions	num_diagnoses_in_a_single_day_the_day_before_yesterday	num_exclusions_prev_day	num_inspections_sent_in_a_single_day_the_day_before_yesterday	diagnosed_in_isolation_Diagnosed_MIN_death_MIN_ReleasedFromIsolation	interpretation_completed_Excluded_PLUS_Confirmed	not_yet_interpreted_TotalInspection_MIN_Completed	test_total_positive_rate_Confirmed_DIV_Completed	mortality_Death_DIV_Complete	Interpretation_on_same_day_Confirmed_PLUS_Excluded	interpretation_on_day_Confirmed_PLUS_Excluded	total_interpretation_on_day_Confirmed_PLUS_Excluded	not_inspected_on_the_day_SendForInspection_MIN_CompleteInterpretation	total_unchecked_on_the_day	same_day_test_positive_rate_DiagnosedOnDay_DIV_TestVolumeOnDay	Num_Local_Cases_Projected	day	sw_start	sw_center	sw_end	sw_num_days_with_data	sw_PREDICTED_cases_sum	sw_PREDICTED_cases_mean	sw_PREDICTED_cases_sd	sw_PREDICTED_cases_SE	sw_start_date	sw_center_date	sw_end_date
2021-05-01	1	0	1	1	384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	4	7	7	11	1.5714285714285714	1.7182493859684491	0.6494372236659931	2021-05-01	2021-05-04	2021-05-07
2021-05-02	5	0	5	5	420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	2	5	8	7	12	1.7142857142857142	1.7043362064926932	0.6441785361175563	2021-05-02	2021-05-05	2021-05-08
2021-05-03	2	0	2	2	1395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	3	6	9	7	7	1	1	0.3779644730092272	2021-05-03	2021-05-06	2021-05-09
2021-05-04	2	0	2	2	991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	4	7	10	7	9	1.2857142857142858	1.4960264830861913	0.5654448612875199	2021-05-04	2021-05-07	2021-05-10
2021-05-05	0	0	0	0	1096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	5	8	11	7	14	2	2.6457513110645907	1	2021-05-05	2021-05-08	2021-05-11
2021-05-06	1	0	1	1	1009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	6	9	12	7	31	4.428571428571429	6.078847008469694	2.2975882060599653	2021-05-06	2021-05-09	2021-05-12
2021-05-07	0	0	0	0	1068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	7	10	13	7	43	6.142857142857143	6.618876325292973	2.501700102202609	2021-05-07	2021-05-10	2021-05-13
2021-05-08	2	0	2	2	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8	8	11	14	7	73	10.428571428571429	10.533393610436333	3.9812485649673297	2021-05-08	2021-05-11	2021-05-14
2021-05-09	0	0	0	0	683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	9	12	15	7	256	36.57142857142857	66.18876325292973	25.01700102202609	2021-05-09	2021-05-12	2021-05-15
2021-05-10	4	0	4	4	1237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	10	13	16	7	539	77	111.23099088533435	42.04136285226955	2021-05-10	2021-05-13	2021-05-16
